videoId,textOriginal,authorDisplayName,publishedAt,commentId
t68QfjvISZ8,Frau Wagenknecht... lassen Sie sich nicht unterkriegen....Sie sind eine Frau mit Hirn und Rückgrat,Annemarie Lorenz,2023-05-03T05:38:45Z,Ugzl93l08MJ2aHavNUB4AaABAg
t68QfjvISZ8,😡😡🤬🤬,Martin Saint,2023-05-03T05:35:30Z,Ugw0c_ED-Ur1hCq9pAh4AaABAg
t68QfjvISZ8,✌,Mau Ti,2023-05-02T22:39:31Z,Ugw77FeC4BthQeF7a314AaABAg
t68QfjvISZ8,Wers glaubt 🤣🤣🤣,Alexander Borth,2023-05-02T20:47:16Z,UgzF7Qx05LOcukekaox4AaABAg
t68QfjvISZ8,Sie unglaublich falsch und verlogen! Biedert sich mit der braunen Partei an. Deutschland wehret den Anfängen!!,Ulrich Will,2023-05-02T20:46:31Z,UgwGfSS_EjyucinpFU94AaABAg
t68QfjvISZ8,In der Wirtschaft zählt das Erreichte - in der Politik reicht das Erzählte ❗️,W. Harms,2023-05-02T19:21:40Z,UgxQUzzf9CcBz6eAfJ14AaABAg
t68QfjvISZ8,"Also werden Leute im kalten sitzen und Leute müssen ihr Haus verkaufen, was anderes sagt die ja nicht.",tatanka,2023-05-02T18:59:21Z,Ugwp46S8YcXqIYIfe7p4AaABAg
t68QfjvISZ8,Irgend wann wird Habeck und sein Clan dafuer vor Gericht stehen und sich verantworten muessen. So aehnlich wie Erich Honecker. Nur mit dem Unterschied dass Habeck in den Knast muss.,Walter Gausser,2023-05-02T15:12:31Z,UgzhY7TC_fkz8HJ8RNt4AaABAg
t68QfjvISZ8,"Die USA werden bestimmt die Verbraucher in DE wohl mit Wärmepumpen schützen, aber bestimmt mit Bedingung, dass man tiefer in die Tasche greift.",Orion Federation,2023-05-02T15:02:58Z,Ugyzel8RTcZGoABRV_14AaABAg
t68QfjvISZ8,"diese Rohrkrepierer, was für ein Desaster....",Sebastian M.,2023-05-02T14:59:43Z,UgzFCWs3xVyDEWF9KnF4AaABAg
t68QfjvISZ8,"Ich habe eine Gas Brennwert Therme . Baujahr 2021 . Wirkungsgrad bei ca 98,% .
Auch diese neue moderne Therme ( 40% gefördert von der KFW 2021 )ist jetzt Scheisse Schlecht 😡🤬. Danke ihr super Regierenden 👍👍",Oliver Kraus,2023-05-02T14:36:54Z,UgxhBjxDR77oq-wcYBp4AaABAg
t68QfjvISZ8,ALSO HABEN E. GRÜNE NICHT. GEWELT DIE UNSERE. REGIERUNG. UM PLATZ. DAS DIE  HELFEN  BESONDERS ELTERN MENSCHEN. HELFEN. MACHEN DIE. GESETZE NOCH. SCHLIMMER  WO WIR NICHTS BEWÄLTIGEN KÖNNEN. SAUEREI. HABT IHR ALLE. NICHT BESSERES. ZU TUN  DUMME GESETZE MACHT IHR. WIR. BRAUCHEN  ANDERE. REGIERUNG  SOFORT,rote Blume 75,2023-05-02T11:48:35Z,UgzGvNE-PKNuWjMGQDV4AaABAg
t68QfjvISZ8,"Das sollten die Politiker dann auch bezahlen, weil sie uns den ganzen Mist eingebrockt haben!!!",Ursula Schultz,2023-05-02T09:56:14Z,UgzKu9RezyEmAyhBWtt4AaABAg
t68QfjvISZ8,"Ich glaube nicht Mal das man sein Haus verkaufen muss, nein bei diesen enormen Kosten wird man das verschenken müssen. Wer bezahlt denn für das Haus Geld und muss dann evtl. 50.000 bis 70.000 Euro investieren? Ich kann mir keinen vorstellen, der das macht.",Wer Weiß,2023-05-02T09:51:34Z,UgwGAUNqafKCWcu01tR4AaABAg
t68QfjvISZ8,Erschlagen den.,Matthias Kunadt,2023-05-02T09:13:21Z,UgxWzwPFCK9IIiIGwcJ4AaABAg
t68QfjvISZ8,"ja klar, wie keiner gezwungen wird sich impfen zu lassen,es wird kein Impfzwang geben. Ist das gleiche Spiel. Legale Kriminalität",Medusa AbbA,2023-05-02T07:51:45Z,UgwCk6w7Tt3ShuybDK54AaABAg
t68QfjvISZ8,"Habe die Ehre 
Wie geht's Euch?
Daß der Energiewechsel bzw die Energiewende nur ein Zucker      Lecken wird, dürfte wohl klar klar sein  daß das nicht so ist bzw sich nicht so anfühlt
Tja, eine von Moskau bezahlte hetzt Euch Extrablöden auf
Hey Ihr Feiglinge 
Wir gehen voran,  noch vor den Ami's
Und diese Chance in der Geschichte, daß Deutschland in den Geschichtsbüchern und in den Gedanken aller Menschen die allerersten waren die zur Energiewende aufgerufen haben, lass ich mir von niemanden schlecht machen weder von politischen Parteien wie zB die Linke, die rechtsextreme AfD usw
Habt ihr es immernoch nicht gehört das Gelächter über euch",Albert Wagner,2023-05-02T07:45:44Z,UgzSkMzSGB3vow-RnNd4AaABAg
t68QfjvISZ8,"Jeder der CDU CSU FDP SPD Linke Grüne gewählt hat, ist Mitschuld daran, das es so ist wie es jetzt ist.",abc123gpl,2023-05-02T07:40:01Z,Ugw61sK-oGmUFaGG73Z4AaABAg
t68QfjvISZ8,Wann wird endlich das Misstrauensvotum ausgesprochen???,butterfly butterfly,2023-05-02T06:51:13Z,UgzG2ReH8uIGwDU0mNd4AaABAg
