channel_id,video_id,comment_id,date,author,comment_text
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,Ugx0YuGFKa9jGpXoDEp4AaABAg,2023-05-03T08:55:44Z,Tim Tochtenhagen,"Einer der Wege, die man gehen könnte ist eine Definitionsänderung in der Rückzahlung von Bankenkrediten. 
Denn bis heute ist das Problem der, das alle Bankgutenhaben eigentlich NICHT ZURÜCKGEZAHLTE  SCHULDEN sind und da niemand gerne in Schulden lange zeit ist, müsste man genau dort ansetzen. 
Und wenn man das Bankensystem in Verbindung mit den Allgemeinen Regel des Kredites vergleich, dann stellt man fest, das die Bank nie EIGENKAPITAL dem Kreditnehmer zu verfügung stellt und deshalb auch kein ANRECHT hat auf eine Rückerstattung der Kreditsumme. 
Sie hat nur ein Anrecht auf den Zins und Zinseszins, der ja vorher vereinbart worden ist. Wenn dies konsequent angewendet wird, was ja von den BANKENGESETZEN eigentlich gefordert ist, dann wäre der Druck, der auf den Kreditnehmern läge nicht so hoch. 

Ich bin dafür, das dieses Prinzip von allen Kreditnehmern zu not per Gerichtsverfahren durchgesetzt werden sollte. Denn die Banken könnten gar nicht beweisen, das sie EIGENKAPITAL dem Kreditnehmern gegeben haben, selbst wenn, haben sie gegen Bundesbankgetz verstoßen. Des Gesetz legt fest, dass das Eigenkapital zu Absicherung der Mindestreserve dient und nicht verliehen werden darf. 

Gruß´
rTT Dracdeus"
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgzYIXyd3qUFr8DYstx4AaABAg,2023-05-02T07:29:29Z,Ramsan Kadyrow,"DAX steigt über Marke von 16.000 Punkten

Getrieben von der Hoffnung auf ein nahes Ende der Zinserhöhungen der US-Notenbank erobert der deutsche Aktienindex DAX erstmals seit Januar 2022 die psychologisch wichtige Marke von 16.000 Punkten.

Ach Fr Putia. Überlassen Sie Finanzen den Experten."
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,Ugx3kA_rwVw1zYSrg_B4AaABAg,2023-05-02T07:05:16Z,Miguel Londono,Wie ich mir wünschen das sie oder ihr Mann Kanzler werden würde. 😊😊
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgzQQI8SN83ijaeDM_94AaABAg,2023-05-01T20:48:02Z,Frank Eimler,"Bewundernswert Frau Waagenknecht. Hochachtung was 
 ihr Insider wissen betrifft. Sie sind unschlagbar im ganzen Dummstorf.
Sie sind die einsgste Bundeskanzlerin die man akzeptiert kann ,der Rest der hier das sagen hatte und hat , hören alle in einer geschlossenen Anstalt. Durchhalten, weider kämpfen, Sie schaffen es."
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgwU3nh9jZunQi3H8Mx4AaABAg,2023-05-01T09:35:23Z,C M,der ton ist bei den videos immer sooo grottenschlecht
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,Ugzw-5WS15rap-3jJK94AaABAg,2023-05-01T06:02:18Z,Peter Konex,"Die übliche Desinformation von Frau Wagenknecht bezahlt aus Steuergeldern. Wer ihren Narrativen glaubt hat schon einen Großteil des gesunden Menschenverstandes verloren.
Ihre Argumentation beruht auf Halbwahrheiten und Unwahrheiten. Kann jeder nachprüfen, wer sich die Mühe macht. 
Im Bundestag und in den Arbeitsausschüssen hat sich Frau Wagenknecht rar gemacht. Das zeigt auch ihr Abstimmungsverhalten. Sie stimmt zu vielen Gesetzentwürfen nicht ab, weil sie nicht da ist. Dafür wird sie aber bezahlt!
Ihr größtes Narrativ ist, dass der Westen Schuld hat an der russischen Agression. Von führenden Osteuropa Experten mehrfach wiederlegt. Leider wiederholt trotz öffentlicher Wiederlegung ihre Narrative. Sie ist nicht mehr lernfähig und eine verbohrte Ideologin."
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,Ugzt54YbJMgeNcTesnt4AaABAg,2023-04-30T06:26:52Z,Johanna Von Berg,"Soviel Unsinn lange nicht mehr gehört. Anscheinend ist Frau Sarah Wagenknecht entgangen dass die Zinsen von den Zentralbanken erhöht worden sind und viele Banken in festen Anleihen festsitzen. Ihnen sollte bekannt sein dass langläufige Anleihen dazu führen dass ihre Renditen fallen wenn die Zinsen steigen.  Die Zinserhöhungen der Zentralbanken dienen der Bekämpfung der Inflation um somit dem Markt wieder Geld zu entziehen und billige Kredite zu vermeiden. Alles wäre gar kein Problem gewesen wenn man bis zum Ende der Laufzeit der Anleihen gewartet hätte da man die Anleihen dann nicht mit Verlust verkaufen müsste. Aber warum waren die Banken gezwungen die Anleihen frühzeitig zu verkaufen? Weil sie auf Liquidität angewiesen waren und zwar deshalb weil ihre Freunde zu einem Bankenrun aufgerufen haben. Peter Thiel, Donald Trump als auch Musk haben auf Twitter die Leute aufgehetzt und angeheizt sie sollen ihre Gelder abziehen und haben absichtlich eine Panik angeheizt.  Insbesondere Peter Thiel gegen den Ermittlungen laufen aber auch Donald Trump."
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgxQ0ocoQKC1rHylzNp4AaABAg,2023-04-27T05:18:25Z,Heiko Reiter,Hei ich heiße Heiko  da muss  mann was du das muss  nicht  basieren
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,Ugy4jWYi6m82Lni-zbV4AaABAg,2023-04-26T13:58:43Z,Jörg Sembritzki,"Hallo Sarah
Das alles ist in allem sehr komplex. Wer kein Vermögen hat braucht sich auch keine Sorgen machen. Wenn der finanzielle zusammenbruch kommt, wie auch immer das dann aussehen wird, geht es nur noch ums ,, fressen und saufen ''. Ich hoffe in dieser Zeit das wir alle anständig miteinander umgehen.
Ich hoffe für dich Sarah das du an Popularität weiter zunehmen kannst und irgendwann die Gelegenheit bekommst wählbar zu sein. Ich bewundere dich um die Aufopferung für das gute einzustehen und dabei auf ein gutes Privatleben zu verzichten. Bleib gesund und bei Kräften....
Gruß Jörg aus Emmersweiler 😉"
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgyPK5kGcAUT3FoFB9B4AaABAg,2023-04-25T10:29:59Z,Reiner Mueller,"Mein Glaube sagt ☝️
die deutsche Wirtschaft singt unter 10% jedes Jahr  😡
Das haben wir Ostdeutschen von 1991 bis 1996 schon mal mitmachen müssen 👎 
Innerhalb von fünf Jahren hat man 50% der Industrie vernichtet 😡 
Ab 2025 kommen die zwangskredit auf die Deutschen Immobilien das ist schon vor Jahrzehnten geplant worden weil wir Zeit 8 Mai 1945 eine Kolonie der USA sind und auch von  Europa 😡👎👎👎"
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgxxwVWClnOFZiz-TSh4AaABAg,2023-04-25T08:42:58Z,Ramsan Kadyrow,"Um fast zehn Prozent erhöht Nestlé im ersten Quartal die Preise für Nespresso, Maggi, Kitkat und Co. Die Kunden bleiben den Produkten treu, der Umsatz des Nahrungsmittelriesen klettert entsprechend.

Querdenker hier langen gei KiKat zu 😂😂"
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgxL0Ady0frhi_FwpZV4AaABAg,2023-04-25T03:19:44Z,ei jamb,"Ich sehe es ebenso. Es ist aus meiner Sicht nicht mehr das Ziel vieler Politiker die Staatsfinanzen zu stabilisieren (s. die Verschwendung in der C-Krise/ Aufrüstung für die Ukraine..) sondern einerseits ihrem Klüngel dem Großkapital bzw. Internationalen Gesellschaften zuzuarbeiten und andererseits die Länder der ersten Welt in Schwellenländer zu verwandeln. So lässt sich am besten regieren, wenn jeder aus der arbeitenden Menge um seine Existenz kämpfen muss und er gar keine Zeit hat sich zu informieren .
Ich möchte Ihnen aber für Ihre mutige und ehrliche Haltung danken. Politiker wie Sie würde es viele,viele brauchen und eine unbestechliche Medienlandschaft!
Mit freundlichen Grüßen!!
Eckhard HEINRICH"
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgxfT1e7hSCiZFNXX-p4AaABAg.9ouWqBUE5Nk9ovUacOLdQ6,2023-04-25T08:42:17Z,Ramsan Kadyrow,😂😂😂 null
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,Ugxzek2Vna8Jijew0rl4AaABAg,2023-04-23T22:42:11Z,Anne,"Frau Wagenknecht, warum haben sie nicht für eine Aufarbeitung der Verbrechen der Corona Politik gestimmt ? Haben sie Angst so zu enden wie Herr Oppermann und Ohoven?"
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgyzizHNdozrr5VweUd4AaABAg,2023-04-23T19:03:21Z,D.F. G.,"Hallo Frau Wagenknecht, ich würde gerne ein Mitglied ihre neue Partei werden aber ich weiß nicht wie. Wie kann ich mit Ihnen in Kontakt kommen?"
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgwoPVtDxcxVWXomcXV4AaABAg,2023-04-23T09:03:34Z,Ralf Eckert,"Sehr geehrte Frau Wagenknecht, 
das die Finanzwelt seit Jahrzehnten durch BlackRock & Friends am Nasenring durch die Manege geführt wird sollte ja mittlerweile jedem halbwegs behirnten Menschen klar sein. 
Ebenso die massive Deindustrialisierung Deutschlands ist kein Zufall. 
Wenn der Berliner „Dilettantenstadel“ merkt 
das Geld ohne Wertschöpfung nicht funktioniert, wird das eine harte Landung. Obwohl!?!
Frei nach Norbert Blüm:
„DIE DIÄTEN SIND SICHER“
Was will man da machen, wenn der Bürger nicht mal merkt das „Sonder-Schon-Fastvermögen, Wums und DoppelWums, Deckelhier Entlasstung da“ nur massive Kredite sind, ABHAKEN. 
Die einfachsten Zusammenhänge scheinen dem Bürger zu komplex zu sein. Dieses „Narrenschiff“ ist auf dem
„Nobody know“ Kurs und die Ratingagenturen werden den Damen und Herrn alsbald die „rote Karte“ zeigen."
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgyObSX135jkAZjsa0V4AaABAg,2023-04-23T08:23:27Z,👀Betty_buhh,"So ist das, wenn man den Wert des Geldes vom Gold loslöst, weil die Schulden alles Eigenkapital übersteigt. Immer schön Geld drucken und damit die Inflation in die Höhe treiben. Jahrzehntelange Nullzinspolitik und jetzt will man Entgegensteuern? Es wird krachen und das Finanzsystem wird zusammenbrechen, soviel sollte nun der Letzte verstanden haben! Eine Million für ein Laib Brot ist nicht mehr lange Zukunftsvision 🤨"
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,UgxQRnt0lopTZTTXm1h4AaABAg,2023-04-22T11:35:41Z,Monika Trenner,"Im Oktober soll doch der E-Euro kommen vielleicht als ""neue Währung"" gedacht wie Bitcoin mit ähnlicher Umrechnung?"
UCPH3ZPeqWqRVZ_ef4vOZgSw,tewlw2R8rvo,Ugw0J6huEXI-tU-2WvZ4AaABAg,2023-04-22T11:13:54Z,Nic Spar,"Freunde von mir haben AfD gewählt aus Verzweiflung und Protest....Könnten Sie eine Neue Partei gründen?Diese würden Sie wählen.Ich bin Schweizer und wir habe zumindenst die Direkte Demokratie....Aber Dafür sind viele Gehirn gewaschen....Doch vieles im Vergleich zu Deutschland ist schon fast sozialistisch!Ich empfähle aber Deutsche Politiker die Schweizer Gesetze zu studieren....Trinkwasser wurde noch  nicht Privatisiert....Auch das buch ""Jaqueline Badrans Weg ins Bundeshaus""könnte Ihnen dabei behilflich sein.Nicola Sparano,Zürich"
